GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS487532709	2021-03-25 00:00:02.137287	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-PA_962	29			Octoraro Reservoir (IBA) (Chester Co.)	L872097	H	39.8203310	-76.0310030	2017-04-19	07:30:00	obsr293470	S36089295	Stationary	P21	EBIRD	63			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS489298329	2021-03-25 00:00:02.137287	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Welkinweir	L252379	H	40.1545872	-75.6819338	2017-04-23	08:00:00	obsr8523	S36203533	Traveling	P22	EBIRD	150	2.414		5	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS491968640	2021-04-01 15:14:13.10447	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	21					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			White Clay Creek Preserve--Springlawn Trail	L612701	H	39.7355792	-75.8737868	2017-04-29	07:03:00	obsr11194	S36394112	Traveling	P22	EBIRD	107	1.287		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS488700087	2021-03-25 00:00:02.137287	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	6					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Exton Park	L1306255	H	40.0405279	-75.6021810	2017-04-22	08:15:00	obsr805606	S36167492	Traveling	P22	EBIRD	135	4.828		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS490449505	2017-06-10 15:53:54	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	3					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-PA_960	29			Rushton Farm	L1157732	H	39.9843053	-75.4868245	2017-04-26	06:08:00	obsr51325	S36278883	Traveling	P22	EBIRD	128	1.207		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS492739550	2021-03-29 12:27:54.94253	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	3					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-DE_3438	29			Bucktoe Creek Preserve (restricted access/private)	L837968	H	39.8206009	-75.7217216	2017-04-30	08:00:00	obsr248202	S36441595	Traveling	P22	EBIRD	200	4.828		10	1	G2376099	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS490861574	2018-03-04 16:04:54	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	4					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			White Clay Creek Preserve (PA)	L129676	H	39.7471405	-75.7739174	2017-04-27	06:51:00	obsr222247	S36305251	Traveling	P22	EBIRD	131	1.770		1	1		0	1	0		<b>Route:</b> London Tract Rd. parking lot south to the Sharpless Rd. side path, then walking a little bit of Sharpless south before I decided I should be not be super-late to work, at which point, I turned around and backtracked.--<b>Weather:</b> Low '60s F, sunny but hazy initially, minimal wind.--<b>Non-bird:</b> 3 Eastern Gray Squirrels.		
URN:CornellLabOfOrnithology:EBIRD:OBS491969070	2021-03-25 00:00:02.137287	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	12					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-PA_963	29			Nottingham County Park	L130649	H	39.7365913	-76.0396423	2017-04-29	09:16:00	obsr11194	S36394137	Traveling	P22	EBIRD	196	4.667		2	1		0	1	0		Pearl Crescent-12-Falcate Orangetip-male- 17-Female -4-Unknown-4-Total =25-Juvenal/Horace's Duskywing-6-Juvenal's -1-Spice bush Swallowtail 9-E.Tiger Swallowtail 7-Silver-spotted Skipper 3-Horaces-1-Juniper Hairstreak-2-Azure sp (likely Spring)-Eastern tailed blue-9-Clouded Sulphur 2-Cabbage White-Red-banded Hairstreak-White M Hairstreak---Gray Treefrog- 4--Overcast with the temperatures around 82°F. Humid. --		
URN:CornellLabOfOrnithology:EBIRD:OBS494119260	2021-03-29 12:27:54.94253	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	3					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Yard - West Chester	L483218	P	39.9991050	-75.6039593	2017-04-29	18:05:00	obsr7291	S36526346	Stationary	P21	EBIRD	45			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS504644983	2021-03-25 00:00:02.137287	32859	issf	Yellow-rumped Warbler	Setophaga coronata	Yellow-rumped Warbler (Myrtle)	Setophaga coronata coronata	2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-PA_960	29			Rushton Farm	L1157732	H	39.9843053	-75.4868245	2017-04-29	08:35:00	obsr913502	S37148717	Traveling	P22	EBIRD	180	2.414		9	1	G2374380	0	1	0				
