GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS752891377	2021-03-23 21:23:10.058299	32798	species	Yellow Warbler	Setophaga petechia			10					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Exton Park	L1306255	H	40.0405279	-75.6021810	2019-05-06	07:36:00	obsr805606	S55912028	Traveling	P22	EBIRD	76	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS760670718	2021-03-25 00:00:02.137287	32798	species	Yellow Warbler	Setophaga petechia			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-PA_960	29			Ashbridge Preserve	L1521614	H	39.9810524	-75.5174305	2019-05-17	06:46:00	obsr281519	S56391260	Traveling	P22	EBIRD	49	1.208		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS768335681	2021-03-25 00:00:02.137287	32798	species	Yellow Warbler	Setophaga petechia			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Schuylkill River Trail--Cromby/Phoenixville	L3518888	H	40.1480119	-75.5288621	2019-05-29	08:03:00	obsr768051	S56884745	Traveling	P22	EBIRD	103	2.591		2	1	G4233531	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS759528826	2019-05-15 13:57:06	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Black Rock Sanctuary	L165736	H	40.1548650	-75.5064540	2019-05-15	11:40:00	obsr932952	S56311682	Traveling	P22	EBIRD	106	2.414		1	1		0	1	0			Heard only	
URN:CornellLabOfOrnithology:EBIRD:OBS765560571	2021-03-25 00:00:02.137287	32798	species	Yellow Warbler	Setophaga petechia			4					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-DE_3438	29			Bucktoe Creek Preserve (restricted access/private)	L837968	H	39.8206009	-75.7217216	2019-05-24	09:00:00	obsr544551	S56703023	Stationary	P21	EBIRD	360			13	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS751630500	2021-03-29 12:27:54.94253	32798	species	Yellow Warbler	Setophaga petechia			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Springton Manor Farm	L1307711	H	40.0683509	-75.7785416	2019-05-02	09:57:00	obsr153394	S55838385	Traveling	P22	EBIRD	50	0.201		1	1		0	1	0		Quieter time of day & very limited walking.  Heard and saw around parking lot and main barn only. Many 		
URN:CornellLabOfOrnithology:EBIRD:OBS755035165	2021-03-25 00:00:02.137287	32798	species	Yellow Warbler	Setophaga petechia			13					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Exton Park	L1306255	H	40.0405279	-75.6021810	2019-05-09	08:19:00	obsr299676	S56041114	Traveling	P22	EBIRD	172	5.327		21	1	G4151141	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS758893911	2019-05-14 13:06:33	32798	species	Yellow Warbler	Setophaga petechia			15					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Exton Park	L1306255	H	40.0405279	-75.6021810	2019-05-11	15:13:00	obsr110473	S56272731	Traveling	P22	EBIRD	58	1.770		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS759320253	2021-03-25 00:00:02.137287	32798	species	Yellow Warbler	Setophaga petechia			13					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Exton Park	L1306255	H	40.0405279	-75.6021810	2019-05-09	08:30:00	obsr1097823	S56299822	Traveling	P22	EBIRD	172	5.327		21	1	G4151141	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS759182344	2021-03-23 21:23:10.058299	32798	species	Yellow Warbler	Setophaga petechia			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Exton Park	L1306255	H	40.0405279	-75.6021810	2019-05-14	16:39:00	obsr805606	S56290759	Traveling	P22	EBIRD	79	2.816		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS768129286	2019-05-29 13:31:36	32798	species	Yellow Warbler	Setophaga petechia			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Marsh Creek SP	L272015	H	40.0675599	-75.7199850	2019-05-29	08:19:00	obsr544551	S56870531	Traveling	P22	EBIRD	311	4.699		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS761650644	2021-03-29 12:27:54.94253	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			S. Mill Rd.	L4406448	P	39.8346776	-75.7179692	2019-05-18	12:16:00	obsr634902	S56453539	Stationary	P21	EBIRD	116			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS765042576	2021-04-01 15:14:13.10447	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			S. Mill Rd.	L4406448	P	39.8346776	-75.7179692	2019-05-23	20:11:00	obsr634902	S56668773	Stationary	P21	EBIRD	27			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS749969250	2019-05-04 09:20:40	32798	species	Yellow Warbler	Setophaga petechia			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Exton Park	L1306255	H	40.0405279	-75.6021810	2019-05-02	08:30:00	obsr1150418	S55739008	Traveling	P22	EBIRD	60	3.219		1	0		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS807149179	2021-03-31 04:31:08.447012	32798	species	Yellow Warbler	Setophaga petechia			13					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Exton Park	L1306255	H	40.0405279	-75.6021810	2019-05-02	08:30:00	obsr570868	S59930474	Traveling	P22	EBIRD	174	4.332		16	1	G4112772	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS763869476	2021-04-01 10:40:31.999318	32798	species	Yellow Warbler	Setophaga petechia			4					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Stroud Preserve (closed Wednesdays)	L593221	H	39.9536025	-75.6483793	2019-05-19	07:15:00	obsr666600	S56593427	Traveling	P22	EBIRD	180	1.609		22	1	G4206902	0	1	0		Deb leads "Bagels and Bobolinks" Explore More event for Natural Lands FON volunteers. Great show of Bobolinks singing and displaying in back field. We took a bird walk around the wetlands, and saw a great assortment of species. Jarrod Shull does phenomenal work managing Stroud for grassland species.		
URN:CornellLabOfOrnithology:EBIRD:OBS868460343	2020-02-22 06:49:19	32798	species	Yellow Warbler	Setophaga petechia			2					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-PA_960	29			Veritable LP	L7399042	P	39.9663960	-75.4933400	2019-05-03	06:35:00	obsr527173	S64849158	Traveling	P22	EBIRD	45	1.235		2	0	G4113623	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS756410596	2019-05-11 11:22:57	32798	species	Yellow Warbler	Setophaga petechia			4					United States	US	Pennsylvania	US-PA	Chester	US-PA-029		29			Hibernia County Park--Chambers Lake	L865342	H	40.0308266	-75.8571303	2019-05-11	07:30:00	obsr134567	S56124128	Traveling	P22	EBIRD	40	0.483		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS765544213	2021-03-25 00:00:02.137287	32798	species	Yellow Warbler	Setophaga petechia			1					United States	US	Pennsylvania	US-PA	Chester	US-PA-029	US-DE_3438	29			Bucktoe Creek Preserve (restricted access/private)	L837968	H	39.8206009	-75.7217216	2019-05-24	15:18:00	obsr404240	S56702032	Stationary	P21	EBIRD	302			1	1		0	1	0				
