observation_date,observation_count,one_week_ago,delta_one_week_ago,two_week_ago,delta_two_week_ago,three_week_ago,delta_three_week_ago,four_week_ago,delta_four_week_ago,five_week_ago,delta_five_week_ago,one_year_ago,one_year_ago_delta,one_year_one_week_ago,one_year_one_week_ago_delta,one_year_two_week_ago,one_year_two_week_ago_delta,one_year_three_week_ago,one_year_three_week_ago_delta,week_num,year_num,status,month
2012-11-25,10.0,10.0,-51.0,61.0,-84.5,145.5,-47.5,193.0,-228.0,421.0,185.0,8.0,7.0,1.0,0.0,1.0,-41.0,1.0,-41.0,47.0,2012.0,past,2012-11
2012-12-02,10.0,10.0,0.0,10.0,-51.0,61.0,-84.5,145.5,-47.5,193.0,-228.0,2.0,-6.0,8.0,7.0,1.0,0.0,1.0,0.0,48.0,2012.0,past,2012-12
2012-12-09,19.0,10.0,0.0,10.0,0.0,10.0,-51.0,61.0,-84.5,145.5,-47.5,0.0,-2.0,2.0,-6.0,8.0,7.0,8.0,7.0,49.0,2012.0,past,2012-12
2012-12-16,20.0,19.0,9.0,10.0,0.0,10.0,0.0,10.0,-51.0,61.0,-84.5,0.0,0.0,0.0,-2.0,2.0,-6.0,2.0,-6.0,50.0,2012.0,past,2012-12
2012-12-23,13.0,20.0,1.0,19.0,9.0,10.0,0.0,10.0,0.0,10.0,-51.0,1.0,1.0,0.0,0.0,0.0,-2.0,0.0,-2.0,51.0,2012.0,past,2012-12
2012-12-30,14.0,13.0,-7.0,20.0,1.0,19.0,9.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,52.0,2012.0,past,2012-12
2013-02-24,6.0,3.0,-7.0,10.0,0.0,10.0,6.0,4.0,-10.0,14.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,2013.0,past,2013-02
2013-03-03,9.0,6.0,3.0,3.0,-7.0,10.0,0.0,10.0,6.0,4.0,-10.0,0.0,-2.0,2.0,0.0,2.0,2.0,2.0,2.0,9.0,2013.0,past,2013-03
2013-03-10,10.0,9.0,3.0,6.0,3.0,3.0,-7.0,10.0,0.0,10.0,6.0,0.0,0.0,0.0,-2.0,2.0,0.0,2.0,0.0,10.0,2013.0,past,2013-03
2013-03-17,0.0,10.0,1.0,9.0,3.0,6.0,3.0,3.0,-7.0,10.0,0.0,3.0,3.0,0.0,0.0,0.0,-2.0,0.0,-2.0,11.0,2013.0,past,2013-03
2013-03-24,1.0,0.0,-10.0,10.0,1.0,9.0,3.0,6.0,3.0,3.0,-7.0,10.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,12.0,2013.0,past,2013-03
2013-03-31,2.0,1.0,1.0,0.0,-10.0,10.0,1.0,9.0,3.0,6.0,3.0,35.0,25.0,10.0,7.0,3.0,3.0,3.0,3.0,13.0,2013.0,past,2013-03
2013-04-07,4.0,2.0,1.0,1.0,1.0,0.0,-10.0,10.0,1.0,9.0,3.0,10.0,-25.0,35.0,25.0,10.0,7.0,10.0,7.0,14.0,2013.0,past,2013-04
2013-04-14,5.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,-10.0,10.0,1.0,72.0,62.0,10.0,-25.0,35.0,25.0,35.0,25.0,15.0,2013.0,past,2013-04
2013-04-21,73.0,5.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,-10.0,63.0,-9.0,72.0,62.0,10.0,-25.0,10.0,-25.0,16.0,2013.0,past,2013-04
2013-04-28,158.5,73.0,68.0,5.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,211.0,148.0,63.0,-9.0,72.0,62.0,72.0,62.0,17.0,2013.0,past,2013-04
2013-05-05,272.0,158.5,85.5,73.0,68.0,5.0,1.0,4.0,2.0,2.0,1.0,709.0,498.0,211.0,148.0,63.0,-9.0,63.0,-9.0,18.0,2013.0,past,2013-05
2013-05-12,114.0,272.0,113.5,158.5,85.5,73.0,68.0,5.0,1.0,4.0,2.0,168.5,-540.5,709.0,498.0,211.0,148.0,211.0,148.0,19.0,2013.0,past,2013-05
2013-05-19,213.0,114.0,-158.0,272.0,113.5,158.5,85.5,73.0,68.0,5.0,1.0,8.0,-160.5,168.5,-540.5,709.0,498.0,709.0,498.0,20.0,2013.0,past,2013-05
2013-05-26,82.0,213.0,99.0,114.0,-158.0,272.0,113.5,158.5,85.5,73.0,68.0,0.0,-8.0,8.0,-160.5,168.5,-540.5,168.5,-540.5,21.0,2013.0,past,2013-05
2013-06-02,1.0,82.0,-131.0,213.0,99.0,114.0,-158.0,272.0,113.5,158.5,85.5,0.0,0.0,0.0,-8.0,8.0,-160.5,8.0,-160.5,22.0,2013.0,past,2013-06
2013-06-09,0.0,1.0,-81.0,82.0,-131.0,213.0,99.0,114.0,-158.0,272.0,113.5,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-8.0,23.0,2013.0,past,2013-06
